country,sector,hazard name
Germany,Energy,Tenancy & housing insecurity
Germany,Energy,Suburban displacement & mobility
Germany,Energy,Policy gaps – neoliberal housing logic
Germany,Energy,Environmental – new construction over renovation
Germany,Energy,Technical / infrastructure constraints
Germany,Housing,Unequal access to housing / homeownership
Germany,Housing,Social & spatial discrimination
Germany,Housing,Limited autonomy of tenants in energy
Germany,Housing,Policy gaps – modernisation levies & tenancy laws
Germany,Housing,Technological & informational barriers
Hungary,Energy,Energy poverty
Hungary,Energy,Policy gaps – partisan / geopolitical interests
Hungary,Energy,Renewable intermittency & grid capacity
Hungary,Energy,Environmental negative effects
Hungary,Energy,Infrastructure & technology limits
Hungary,Energy,Market distortions
Hungary,Transport,Policy gaps – auto-industry priority
Hungary,Transport,Environmental effects of car-centric system
Hungary,Transport,EV limitations
Hungary,Transport,Public transport under-prioritised
Hungary,Transport,Social conflicts of twin transition
Hungary,Transport,Accessibility problem in public transport
Ireland,Energy,Tenancy – no agency to retrofit
Ireland,Energy,Access to finance
Ireland,Energy,Inadequate sectoral policies
Ireland,Energy,Environmental – limited retrofitting
Ireland,Energy,Technical / technological constraints
Ireland,Housing,House ownership & limited housing access
Ireland,Housing,Transport needs linked to housing constraints
Ireland,Housing,Inadequate sectoral policies
Ireland,Housing,Environmental challenges (housing + transport)
Italy,Energy,Policy gaps & governance fragmentation
Italy,Energy,Limited benefits of energy policies
Italy,Energy,Market concentration & price asymmetry
Italy,Energy,Energy poverty & territorial disparities
Italy,Energy,Environmental challenges
Italy,Energy,Technical & infrastructural constraints
Italy,Transport,Territorial inequality in mobility access
Italy,Transport,Policy gaps in transport
Italy,Transport,Infrastructural weaknesses
Italy,Transport,Affordability barriers to clean mobility
Italy,Transport,Digital exclusion & service-design gaps
Italy,Transport,Safety & social exclusion in mobility
Spain,Energy,Energy poverty (intersectional)
Spain,Energy,Inaccessible subsidy design
Spain,Energy,Digital exclusion & techno-ableism
Spain,Energy,Public policies do not target vulnerable groups
Spain,Energy,Opaque tariffs / weak communication
Spain,Energy,Solar subsidies not relevant for vulnerable households
Spain,Transport,Transport poverty among vulnerable groups
Spain,Transport,Affordability gap in clean mobility
Spain,Transport,Underdeveloped electric infrastructure
Spain,Transport,Urban environment as barrier
Spain,Transport,Low institutional responsiveness
Spain,Transport,Rural public transport networks insufficient
Portugal,Energy,Lack of financial stability
Portugal,Energy,Tenant decision-making constraints
Portugal,Energy,Insufficient public infrastructure & modernisation
Portugal,Energy,Absence of policies reflecting real needs
Portugal,Energy,Limited accessibility of support
Portugal,Energy,Ageing population & low engagement
Portugal,Housing,Financial difficulties
Portugal,Housing,Restricted access to affordable / social housing
Portugal,Housing,Travel & transport burdens linked to housing
Portugal,Housing,Lack of home ownership / insecure arrangements
Portugal,Housing,Private & family instability
Portugal,Housing,Policy mismatch with real needs
Portugal,Housing,AI / labour-market risks
