country,sector,hazard name,profile,evidence,reference
Germany,Energy,Tenancy & housing insecurity,Renting households,Tenants lack agency and income headroom to invest in efficiency renewables or energy communities.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; pages 44-45"
Germany,Energy,Tenancy & housing insecurity,Low-income tenants,Modernisation levies and high rents increase inequality and reduce ability to adopt sustainable options.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; pages 44-45"
Germany,Energy,Suburban displacement & mobility,Households displaced from expensive cities,Rising rents can push households to suburban or rural areas and increase commuting.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; page 45"
Germany,Energy,Suburban displacement & mobility,Commuters dependent on fossil-fuel mobility,Unaffordable housing can increase distance between work and home and fossil-fuel commuting dependence.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; page 45"
Germany,Energy,Policy gaps � neoliberal housing logic,Tenants in oversized or inefficient housing,Housing policy is described as market-oriented and inattentive to remanence and structural causes.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; page 45"
Germany,Energy,Policy gaps � neoliberal housing logic,Lower-income households,Policy responses are described as addressing upper-income needs more than social components.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; page 45"
Germany,Energy,Environmental � new construction over renovation,Tenants with limited spending power,New construction over renovation increases material and energy burdens while tenants have limited capacity to choose greener options.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; page 45"
Germany,Energy,Technical / infrastructure constraints,Suburban and rural residents,Limited mobility infrastructure digitalisation and grid capacity particularly affect people relocating outside cities.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.1 Germany energy; page 45"
Germany,Housing,Unequal access to housing / homeownership,Lower-income households,Home ownership is tied to financial security and creditworthiness; lower-income households face inefficient buildings and poverty risks.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; pages 50-51"
Germany,Housing,Unequal access to housing / homeownership,Tenants,Retrofitting and housing benefits are unevenly accessible and tenants have limited access to climate-friendly housing resources.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; pages 50-51"
Germany,Housing,Unequal access to housing / homeownership,People facing discrimination,Access to home ownership and well-serviced neighbourhoods is linked to discrimination including religion.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; page 50"
Germany,Housing,Social & spatial discrimination,Residents pushed out of well-serviced neighbourhoods,Financial insecurity and discrimination can push groups away from well-serviced areas and increase segregation.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; page 50"
Germany,Housing,Social & spatial discrimination,DGs in energy-inefficient buildings,Disadvantaged groups often live in inefficient buildings and have uneven access to climate-friendly housing.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; page 50"
Germany,Housing,Limited autonomy of tenants in energy,Tenants,Tenants have limited autonomy to adopt renewable energy or participate in sustainable energy programmes.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; page 50"
