Sector,Hazard,affected predictor / indicator categories,Policy case study across Europe only,Country / city,Twin-transition mitigation measure,Policy implementation summary,Evidence of success / why credible,Reference links
Housing,HEATING AND COOLING COSTS INCREASE,Heat fuel wood,Ireland — Warmer Homes Scheme and Warmth & Wellbeing pilot,Ireland,"Twin-transition building retrofit: fully funded insulation, heating-system and energy-efficiency upgrades for eligible homes, using public grant delivery and SEAI administration.","For the profile ""Heat fuel wood"", the measure reduces dependence on expensive heating/cooling by improving thermal performance and enabling cleaner heating where suitable.",Government-backed and evaluated; the Warmth & Wellbeing pilot reported physical and mental-health benefits after home energy upgrades.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HEATING AND COOLING COSTS INCREASE,Higher Home problems count,Ireland — Warmer Homes Scheme and Warmth & Wellbeing pilot,Ireland,"Twin-transition building retrofit: fully funded insulation, heating-system and energy-efficiency upgrades for eligible homes, using public grant delivery and SEAI administration.","For the profile ""Higher Home problems count"", the measure reduces dependence on expensive heating/cooling by improving thermal performance and enabling cleaner heating where suitable.",Government-backed and evaluated; the Warmth & Wellbeing pilot reported physical and mental-health benefits after home energy upgrades.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,COLD/DAMP LEADS TO HEALTH PROBLEMS,Housing cost band: 1_Low,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Housing cost band: 1_Low"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,COLD/DAMP LEADS TO HEALTH PROBLEMS,Age group: 45+,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Age group: 45+"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,COLD/DAMP LEADS TO HEALTH PROBLEMS,Housing cost band: 3_High,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Housing cost band: 3_High"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,COLD/DAMP LEADS TO HEALTH PROBLEMS,Issue high energy bills,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Issue high energy bills"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,COLD/DAMP LEADS TO HEALTH PROBLEMS,Activity status: Unemployed,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Activity status: Unemployed"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,COLD/DAMP LEADS TO HEALTH PROBLEMS,Countries with higher Cold home pct,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Countries with higher Cold home pct"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,COLD/DAMP LEADS TO HEALTH PROBLEMS,Countries with higher Heating degree days,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Countries with higher Heating degree days"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HOME INSURANCE MORE EXPENSIVE,Solar install likelihood: Not sure,EU EPBD Renovation Wave and Smart Readiness Indicator-enabled building upgrades,EU / Member States,"Twin-transition building resilience measure: combine energy performance renovation with digital building-readiness tools, smart controls and better building data to reduce inefficient, high-risk housing conditions.","For the profile ""Solar install likelihood: Not sure"", the measure supports upgrading inefficient or older dwellings so they are less exposed to transition-related penalties and climate/energy-risk pressures that can affect household costs.","Backed by the EU Energy Performance of Buildings Directive, Renovation Wave and Smart Readiness Indicator framework for smart, decarbonised buildings.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en
